Episode number, Episode reward
481,-1471.5015061514948
482,-1311.7019979364661
483,-2028.4632469308017
484,-1696.5034176444085
485,-1162.7126811333314
486,-1755.5744099345939
487,-1017.9791494207446
488,-1547.434785714889
489,-2061.018743306487
490,-2243.138385248361
491,-1180.2655055330665
492,-2309.364883541139
493,-1837.806890200567
494,-1143.1314062650595
495,-1539.158550753295
496,-2075.251730320498
497,-1374.9152214885082
498,-1370.6132659105344
499,-1243.3556516059168
500,-1153.2384140296392
501,-2682.6185381122677
502,-1017.3314490176334
503,-1350.5724264172277
504,-1831.6038995890492
505,-2124.351722143211
506,-1451.283257237229
507,-1395.8277696614289
508,-1380.2634494179413
509,-1981.8617666826017
510,-1228.58613031881
511,-2133.6177211940335
512,-1123.571759188184
513,-1187.9097178913896
514,-1533.2213920038728
515,-1650.7617433689393
516,-1109.163461569405
517,-2398.9103066009648
518,-1116.0978669935046
519,-1303.0749671395615
520,-1501.7089501841278
521,-1303.3103136420766
522,-1204.766936316043
523,-2003.266150760552
524,-1356.4872991117088
525,-2176.891440757295
526,-1330.0465065610201
527,-1823.3062034067914
528,-1226.2073668568366
529,-1092.825304150164
530,-1237.4309363911898
531,-2041.5156083996042
532,-1594.9811774217585
533,-1176.853528182334
534,-1211.6051431730023
535,-1267.746244479373
536,-1375.4326182166797
537,-1211.8993381184355
538,-1449.9220078237395
539,-1267.5813067882405
540,-1234.8657490996536
541,-2180.806698448044
542,-1381.3794362159551
543,-1881.0680730621918
544,-1309.9363289651099
545,-1527.2939829293489
546,-1443.5111259527114
547,-1454.4036189942974
548,-989.9147998735777
549,-2030.015772705832
550,-1866.3121440226882
551,-1287.7556934772115
552,-1381.852475948739
553,-1332.644985913304
554,-1676.0197852929784
555,-1137.6285943014561
556,-1251.5590652526505
557,-1513.9563235851522
558,-1387.8804496824212
559,-1312.0347166316926
560,-1514.4376050637575
561,-1344.6256205421753
562,-1712.8072170419243
563,-1392.4281024196678
564,-2300.81556777646
565,-2245.395001266392
566,-1359.14673320812
567,-1168.8495996266645
568,-1431.6305894523155
569,-2182.5892525528093
570,-2100.1666327256526
571,-1171.1561142502057
572,-2004.711997218839
573,-1402.4316896455293
574,-1473.2011234032054
575,-1932.0370632161075
576,-2172.0178453844837
577,-1414.184768127519
578,-1571.6819027256847
579,-1366.007367245958
580,-1332.3583945491882
581,-2081.1633112819736
582,-1094.1660085887017
583,-1013.5867611323033
584,-1013.3447960492869
585,-1309.8322330043572
586,-2089.4914682514313
587,-2062.0742642275795
588,-1568.8520933346078
589,-1459.8396812387073
590,-1210.8894114152042
591,-1951.5669662229607
592,-1884.4940539699762
593,-1376.0703146521107
594,-1678.3732012616297
595,-1521.1347677646804
596,-1134.4173438151006
597,-1550.30249403853
598,-1362.1420015518083
599,-1364.0045600913704
600,-2185.7218852033675
601,-1999.0199970507774
602,-1260.3792418025837
603,-1173.9845560259528
604,-1530.8053621032877
605,-2110.773836622095
606,-1557.0657684741398
607,-1028.2788584886914
608,-2313.4926198479734
609,-2111.3300819882093
610,-1171.7593932518146
611,-1174.7114790859534
612,-1450.3348963753758
613,-1152.8829547851515
614,-1966.6167374588406
615,-1071.7663781417891
616,-1262.836569913535
617,-1404.725111886964
618,-1190.0298953755264
619,-2247.2059044853127
620,-1078.1437455695925
621,-1305.8846018552176
622,-1414.4094187325095
623,-1341.048623924976
624,-1995.9337381173275
625,-1232.870795637238
626,-1410.1248215848777
627,-1184.9624330086376
628,-1435.6498820954364
629,-1243.1756843026021
630,-1890.5488073425836
631,-1402.1667527151933
632,-1313.6261545882453
633,-1121.559804792773
634,-1232.7376062715448
635,-1621.9292152659784
636,-1217.1495404654106
637,-1010.8335984168659
638,-1365.3787005978618
639,-1540.2245621657273
640,-1179.5050898757636
641,-1567.146294409627
642,-1344.062900956496
643,-1302.0519038323744
644,-1318.3029639105264
645,-1107.2835494172482
646,-1426.5469619624957
647,-1126.487452244604
648,-1616.6171576613199
649,-1177.3014585219328
650,-1010.5247380280769
651,-1184.745223607037
652,-1140.1473704503019
653,-1541.8568586488593
654,-1807.1586318405798
655,-1491.213192168342
656,-1093.8595981660808
657,-1216.8326739323443
658,-947.4056725568634
659,-1191.7809379782304
660,-1606.5311814627596
661,-1282.7496966880058
662,-2208.6932637582113
663,-2061.5466593862097
664,-1369.803961160503
665,-1933.2020449588426
666,-1045.4048199923698
667,-1031.7116636698063
668,-1319.2232458504027
669,-1053.0559434547858
670,-1749.6164552201055
671,-1788.7270248495392
672,-1477.072433441039
673,-1960.327043302566
674,-1368.1312880909675
675,-1113.221275183269
676,-1446.955430973815
677,-1387.6198642402915
678,-2011.3419289006315
679,-1240.836414296841
680,-1236.778400107349
681,-1330.0537412494093
682,-1523.691878766961
683,-1117.5992881721224
684,-2273.2928065720153
685,-1031.077954090465
686,-1180.576963824699
687,-1370.8779978563045
688,-1656.2641406978803
689,-2181.897406699912
690,-1199.695125749615
691,-1119.2813732887364
692,-1214.8726873682597
693,-1180.2443827571826
694,-1364.7833739038315
695,-1326.9586247643292
696,-2000.3165534849124
697,-2231.164107423848
698,-2026.8279480694316
699,-1303.3076102966772
700,-2225.937895370362
701,-1005.4772913470249
702,-1194.9942900795259
703,-1289.5209902526606
704,-2096.575673829846
705,-1696.2891520171897
706,-2055.605849883865
707,-1077.1544814056929
708,-1691.9628522468026
709,-1148.7641950013535
710,-2035.3845342340417
711,-1323.1696980221027
712,-1106.507944562351
713,-1179.3033077552307
714,-995.3065475919257
715,-1151.3896571700277
716,-1369.8704160409168
717,-2101.8676618120585
718,-2149.92777818559
719,-1528.5887981764176
720,-1258.775371286336
721,-1314.3376657063893
722,-1544.028937109036
723,-1430.8129494632956
724,-1506.555726305923
725,-1186.147720647618
726,-2164.914932091512
727,-1325.1096324201578
728,-1302.2447456605498
729,-1007.0807649664898
730,-1216.4859025799917
731,-1494.828209516254
732,-1871.090254345047
733,-1632.1135109450772
734,-2028.4067465225125
735,-1224.275110043727
736,-1250.0354226923762
737,-1300.1032292476577
738,-1277.7376776614858
739,-1187.266459873491
740,-1537.0063970265965
741,-1167.0696559960097
742,-1600.9084020406087
743,-1210.9817412778607
744,-1216.451945100554
745,-1381.047505659625
746,-1596.0939906822357
747,-1192.264275966049
748,-1424.8698307690504
749,-1211.1508022497137
750,-1359.313161331859
751,-1364.9591862654418
752,-1363.8064846456646
753,-1439.6684943287635
754,-1153.9911724809529
755,-1319.8748112836101
756,-1260.7562538013226
757,-1406.9964309628995
758,-927.4629674612762
759,-1243.3340314094792
760,-1295.388961214765
761,-1293.9854648758933
762,-1407.0086540026093
763,-1054.9938327919967
764,-1129.8459265870686
765,-1486.6099591125262
766,-2187.274484150196
767,-1388.4121914122168
768,-1372.591322088433
769,-1368.777459636459
770,-1341.505564951091
771,-2232.7811796236124
772,-2075.6279114781632
773,-1114.7195084690559
774,-1117.4337071923242
775,-1141.0198564451573
776,-1328.7317526835006
777,-1405.8954746457396
778,-1081.7553188530371
779,-1391.4747596498794
780,-1174.371285576173
